0,71.1344,71.1344
0.2,44.0308,16.9272
0.4,40.386,33.0963
0.6,31.683,5.57409
0.8,27.8258,12.3971
1,27.6454,26.7435
1.2,36.7425,91.3246
1.4,37.9638,46.5133
1.6,40.8934,64.3304
1.8,45.2213,84.1721
2,42.602,16.4089
2.2,39.5879,6.43316
2.4,43.052,84.6214
2.6,46.0374,84.8469
2.8,45.5093,38.1161
3,43.1038,7.02118
3.2,43.6524,52.4308
3.4,42.9729,31.4212
3.6,43.6492,55.822
3.8,42.5794,22.2532
4,43.1922,55.4473
4.2,44.0303,61.6324
4.4,43.3505,28.395
4.6,42.4374,21.4348
4.8,44.3703,90.7595
5,46.3659,96.2569
5.2,48.1212,93.7577
5.4,48.253,51.8135
5.6,47.6674,31.2689
5.8,47.2447,34.9874
6,47.9274,68.4088
6.2,46.8153,12.3408
6.4,45.4244,0.915489
6.6,46.3702,77.5805
6.8,47.8318,97.5264
7,49.0791,92.7333
7.2,48.2035,16.6814
7.4,47.6139,25.8001
7.6,48.9453,99.5389
7.8,49.6463,76.9857
8,49.9799,63.3231
8.2,49.9667,49.4266
8.4,49.8422,44.6137
8.6,50.2011,65.6328
8.8,50.3467,56.7532
9,50.5059,57.667
9.2,50.0162,27.4924
9.4,49.4196,21.3786
9.6,48.4251,0.688223
9.8,47.8629,20.3148
10,47.5749,33.177
